"Gordon_Petersen_2016_MNI","https://sites.wustl.edu/petersenschlaggarlab/ https://academic.oup.com/cercor/article/26/1/288/2367115"
"region","label"
1,"L_Default"
2,"L_SMhand"
3,"L_SMmouth"
4,"L_Default"
5,"L_Visual"
6,"L_Default"
7,"L_FrontoParietal"
8,"L_Visual"
9,"L_FrontoParietal"
10,"L_Auditory"
11,"L_None"
12,"L_CinguloParietal"
13,"L_RetrosplenialTemporal"
14,"L_RetrosplenialTemporal"
15,"L_Visual"
16,"L_Visual"
17,"L_Visual"
18,"L_None"
19,"L_None"
20,"L_Visual"
21,"L_CinguloOperc"
22,"L_CinguloOperc"
23,"L_VentralAttn"
24,"L_FrontoParietal"
25,"L_Default"
26,"L_Default"
27,"L_CinguloOperc"
28,"L_CinguloOperc"
29,"L_Salience"
30,"L_SMhand"
31,"L_SMhand"
32,"L_SMhand"
33,"L_SMhand"
34,"L_CinguloOperc"
35,"L_SMhand"
36,"L_SMhand"
37,"L_SMhand"
38,"L_SMhand"
39,"L_SMmouth"
40,"L_CinguloOperc"
41,"L_DorsalAttn"
42,"L_DorsalAttn"
43,"L_DorsalAttn"
44,"L_Default"
45,"L_SMhand"
46,"L_SMhand"
47,"L_SMhand"
48,"L_SMhand"
49,"L_DorsalAttn"
50,"L_SMhand"
51,"L_DorsalAttn"
52,"L_DorsalAttn"
53,"L_SMmouth"
54,"L_SMhand"
55,"L_DorsalAttn"
56,"L_SMhand"
57,"L_SMhand"
58,"L_SMhand"
59,"L_SMmouth"
60,"L_VentralAttn"
61,"L_VentralAttn"
62,"L_VentralAttn"
63,"L_CinguloOperc"
64,"L_Auditory"
65,"L_Auditory"
66,"L_Auditory"
67,"L_Auditory"
68,"L_Auditory"
69,"L_Auditory"
70,"L_Auditory"
71,"L_CinguloOperc"
72,"L_CinguloOperc"
73,"L_None"
74,"L_DorsalAttn"
75,"L_VentralAttn"
76,"L_CinguloOperc"
77,"L_Auditory"
78,"L_FrontoParietal"
79,"L_VentralAttn"
80,"L_VentralAttn"
81,"L_CinguloOperc"
82,"L_CinguloOperc"
83,"L_Salience"
84,"L_CinguloOperc"
85,"L_VentralAttn"
86,"L_VentralAttn"
87,"L_DorsalAttn"
88,"L_DorsalAttn"
89,"L_CinguloParietal"
90,"L_Visual"
91,"L_DorsalAttn"
92,"L_DorsalAttn"
93,"L_CinguloParietal"
94,"L_Default"
95,"L_DorsalAttn"
96,"L_FrontoParietal"
97,"L_Visual"
98,"L_Visual"
99,"L_Visual"
100,"L_DorsalAttn"
101,"L_CinguloOperc"
102,"L_Auditory"
103,"L_CinguloOperc"
104,"L_Auditory"
105,"L_CinguloOperc"
106,"L_DorsalAttn"
107,"L_DorsalAttn"
108,"L_FrontoParietal"
109,"L_FrontoParietal"
110,"L_DorsalAttn"
111,"L_CinguloOperc"
112,"L_CinguloOperc"
113,"L_DorsalAttn"
114,"L_Default"
115,"L_None"
116,"L_Default"
117,"L_Default"
118,"L_None"
119,"L_None"
120,"L_None"
121,"L_None"
122,"L_None"
123,"L_None"
124,"L_None"
125,"L_None"
126,"L_Default"
127,"L_Default"
128,"L_None"
129,"L_None"
130,"L_RetrosplenialTemporal"
131,"L_Visual"
132,"L_Visual"
133,"L_None"
134,"L_None"
135,"L_None"
136,"L_Visual"
137,"L_Visual"
138,"L_Visual"
139,"L_Visual"
140,"L_Visual"
141,"L_Visual"
142,"L_None"
143,"L_RetrosplenialTemporal"
144,"L_None"
145,"L_Default"
146,"L_Default"
147,"L_CinguloOperc"
148,"L_FrontoParietal"
149,"L_FrontoParietal"
150,"L_Default"
151,"L_Default"
152,"L_Default"
153,"L_CinguloOperc"
154,"L_Default"
155,"L_DorsalAttn"
156,"L_Default"
157,"L_Default"
158,"L_VentralAttn"
159,"L_None"
160,"L_Auditory"
161,"L_VentralAttn"
162,"R_Default"
163,"R_SMhand"
164,"R_SMmouth"
165,"R_Default"
166,"R_Visual"
167,"R_FrontoParietal"
168,"R_FrontoParietal"
169,"R_Visual"
170,"R_FrontoParietal"
171,"R_Auditory"
172,"R_None"
173,"R_CinguloParietal"
174,"R_RetrosplenialTemporal"
175,"R_Visual"
176,"R_Visual"
177,"R_Visual"
178,"R_None"
179,"R_None"
180,"R_CinguloOperc"
181,"R_CinguloOperc"
182,"R_FrontoParietal"
183,"R_Salience"
184,"R_Default"
185,"R_CinguloOperc"
186,"R_Default"
187,"R_CinguloOperc"
188,"R_CinguloOperc"
189,"R_DorsalAttn"
190,"R_SMhand"
191,"R_SMhand"
192,"R_CinguloOperc"
193,"R_SMhand"
194,"R_SMhand"
195,"R_SMhand"
196,"R_CinguloOperc"
197,"R_SMmouth"
198,"R_CinguloOperc"
199,"R_DorsalAttn"
200,"R_Default"
201,"R_SMhand"
202,"R_SMhand"
203,"R_DorsalAttn"
204,"R_SMhand"
205,"R_SMhand"
206,"R_SMhand"
207,"R_SMhand"
208,"R_DorsalAttn"
209,"R_SMhand"
210,"R_SMhand"
211,"R_DorsalAttn"
212,"R_SMmouth"
213,"R_SMhand"
214,"R_SMhand"
215,"R_SMhand"
216,"R_SMhand"
217,"R_SMhand"
218,"R_SMmouth"
219,"R_CinguloOperc"
220,"R_Default"
221,"R_VentralAttn"
222,"R_VentralAttn"
223,"R_CinguloOperc"
224,"R_Auditory"
225,"R_Default"
226,"R_VentralAttn"
227,"R_Auditory"
228,"R_VentralAttn"
229,"R_VentralAttn"
230,"R_Auditory"
231,"R_VentralAttn"
232,"R_Auditory"
233,"R_Auditory"
234,"R_CinguloOperc"
235,"R_CinguloOperc"
236,"R_DorsalAttn"
237,"R_VentralAttn"
238,"R_CinguloOperc"
239,"R_Auditory"
240,"R_FrontoParietal"
241,"R_VentralAttn"
242,"R_VentralAttn"
243,"R_VentralAttn"
244,"R_Auditory"
245,"R_CinguloOperc"
246,"R_CinguloOperc"
247,"R_Salience"
248,"R_CinguloOperc"
249,"R_CinguloOperc"
250,"R_DorsalAttn"
251,"R_Visual"
252,"R_DorsalAttn"
253,"R_DorsalAttn"
254,"R_CinguloParietal"
255,"R_Visual"
256,"R_Visual"
257,"R_Default"
258,"R_Visual"
259,"R_Default"
260,"R_FrontoParietal"
261,"R_FrontoParietal"
262,"R_DorsalAttn"
263,"R_Visual"
264,"R_Visual"
265,"R_Visual"
266,"R_DorsalAttn"
267,"R_Visual"
268,"R_Auditory"
269,"R_Auditory"
270,"R_SMhand"
271,"R_DorsalAttn"
272,"R_FrontoParietal"
273,"R_FrontoParietal"
274,"R_CinguloOperc"
275,"R_DorsalAttn"
276,"R_FrontoParietal"
277,"R_FrontoParietal"
278,"R_Default"
279,"R_Default"
280,"R_None"
281,"R_None"
282,"R_None"
283,"R_None"
284,"R_None"
285,"R_None"
286,"R_None"
287,"R_None"
288,"R_None"
289,"R_None"
290,"R_Default"
291,"R_None"
292,"R_None"
293,"R_Visual"
294,"R_RetrosplenialTemporal"
295,"R_RetrosplenialTemporal"
296,"R_None"
297,"R_None"
298,"R_Visual"
299,"R_Visual"
300,"R_None"
301,"R_None"
302,"R_None"
303,"R_None"
304,"R_None"
305,"R_None"
306,"R_None"
307,"R_Visual"
308,"R_Visual"
309,"R_Visual"
310,"R_Visual"
311,"R_Visual"
312,"R_None"
313,"R_RetrosplenialTemporal"
314,"R_None"
315,"R_Default"
316,"R_Default"
317,"R_CinguloOperc"
318,"R_CinguloOperc"
319,"R_FrontoParietal"
320,"R_FrontoParietal"
321,"R_Default"
322,"R_Default"
323,"R_Default"
324,"R_Default"
325,"R_Default"
326,"R_Default"
327,"R_FrontoParietal"
328,"R_FrontoParietal"
329,"R_Auditory"
330,"R_Auditory"
331,"R_Default"
332,"R_VentralAttn"
333,"R_VentralAttn"
